Model,Runtime,Accuracy,F1,data
Decision Tree,0.73,0.849438202247191,0.8495137401608321,bbc news
Decision Tree fine-tuned,8.08,0.6179775280898876,0.6326724210040741,bbc news
Decision Tree,14.38,0.730083857442348,0.7290779597639142,sarcasm detection
Decision Tree fine-tuned,8.67,0.6158280922431866,0.5679729781822408,sarcasm detection
Random Forest,0.42,0.9707865168539326,0.9707736432702276,bbc news
Random Forest fine-tuned,8.9,0.9595505617977528,0.9594890302077324,bbc news
Random Forest,10.27,0.767120894479385,0.7648832830695218,sarcasm detection
Random Forest fine-tuned,82.99,0.7711390635918938,0.7702067044407579,sarcasm detection
LSTM,402.97,0.9573033707865168,0.9571001389678863,bbc news
LSTM fine-tuned,20148.4,0.9550561797752809,0.9548697900362616,bbc news
LSTM,138.59,0.7908805031446541,0.7909511210845391,sarcasm detection
LSTM fine-tuned,3356.2,0.5202655485674353,0.3560907385966036,sarcasm detection
